class_name,label_key,has_instance,hex,challege_category_id,challenge_category_name
undefined,0,0,#000000,0,other
traffic_cone,1,1,#ffff00,4,obstacle
snow,2,0,#d157a0,3,natural_ground
cobble,3,0,#ff34ff,2,artificial_ground
obstacle,4,0,#ff4a46,4,obstacle
leaves,5,0,#008941,3,natural_ground
street_light,6,1,#006fa6,4,obstacle
bikeway,7,0,#a30059,2,artificial_ground
ego_vehicle,8,0,#ffdbe5,0,other
pedestrian_crossing,9,0,#7a4900,2,artificial_ground
road_block,10,1,#0000a6,4,obstacle
road_marking,11,0,#63ffac,2,artificial_ground
car,12,1,#b79762,5,vehicle
bicycle,13,1,#004d43,5,vehicle
person,14,1,#8fb0ff,7,human
bus,15,1,#997d87,5,vehicle
forest,16,0,#5a0007,6,vegetation
bush,17,0,#809693,6,vegetation
moss,18,0,#b4a8bd,6,vegetation
traffic_light,19,1,#1b4400,4,obstacle
motorcycle,20,1,#4fc601,5,vehicle
sidewalk,21,0,#3b5dff,2,artificial_ground
curb,22,0,#4a3b53,2,artificial_ground
asphalt,23,0,#ff2f80,2,artificial_ground
gravel,24,0,#61615a,3,natural_ground
boom_barrier,25,1,#34362d,4,obstacle
rail_track,26,0,#6b7900,4,obstacle
tree_crown,27,0,#00c2a0,6,vegetation
tree_trunk,28,1,#ffaa92,6,vegetation
debris,29,0,#886f4c,4,obstacle
crops,30,0,#0086ed,6,vegetation
soil,31,0,#d16100,3,natural_ground
rider,32,1,#ddefff,7,human
animal,33,1,#000035,4,obstacle
truck,34,1,#7b4f4b,5,vehicle
on_rails,35,1,#a1c299,5,vehicle
caravan,36,1,#300018,5,vehicle
trailer,37,1,#0aa6d8,5,vehicle
building,38,0,#013349,1,artificial_structures
wall,39,0,#00846f,1,artificial_structures
rock,40,1,#372101,4,obstacle
fence,41,0,#ffb500,4,obstacle
guard_rail,42,0,#c2ffed,4,obstacle
bridge,43,0,#a079bf,1,artificial_structures
tunnel,44,0,#cc0744,1,artificial_structures
pole,45,1,#c0b9b2,4,obstacle
traffic_sign,46,1,#c2ff99,4,obstacle
misc_sign,47,1,#001e09,4,obstacle
barrier_tape,48,0,#bec459,4,obstacle
kick_scooter,49,1,#6f0062,5,vehicle
low_grass,50,0,#0cbd66,3,natural_ground
high_grass,51,0,#eec3ff,6,vegetation
scenery_vegetation,52,0,#456d75,6,vegetation
sky,53,0,#b77b68,8,sky
water,54,0,#7a87a1,3,natural_ground
wire,55,0,#ff8c00,4,obstacle
outlier,56,0,#788d66,0,other
heavy_machinery,57,1,#fad09f,5,vehicle
container,58,1,#ff8a9a,4,obstacle
hedge,59,0,#e8d317,6,vegetation
barrel,60,1,#d0d000,4,obstacle
pipe,61,0,#dd0000,4,obstacle
tree_root,62,0,#c4a484,6,vegetation
military_vehicle,63,1,#404040,5,vehicle
